Category,Question,Answer,Keywords
Qui sommes-nous ?,Qui est CitizenLab Sénégal ?,"CitizenLab Sénégal est une initiative portée par AfricTivistes, dédiée à la promotion de la citoyenneté numérique, de la transparence et de la participation citoyenne. Le programme vise à faire du numérique un levier de gouvernance démocratique et d'inclusion sociale. Nous collaborons avec les gouvernements locaux, les organisations de la société civile et les citoyens pour créer un environnement où chaque voix compte.","citizenlab, qui sommes nous, africTivistes"
Mission,Quelle est la mission de CitizenLab Sénégal ?,"Notre mission est de : 1) Transformer par le numérique ; 2) Renforcer les capacités des jeunes, des femmes et des acteurs de la société civile ; 3) Utiliser le numérique comme outil d'engagement citoyen et de redevabilité ; 4) Favoriser la co-création de solutions Civic Tech innovantes.","mission, objectifs"
FAQ,Qu'est-ce que CitizenLab Sénégal ?,"AfricTivistes CitizenLab Sénégal est une fabrique citoyenne qui appuie, accompagne et outille les acteurs de la société civile du Sénégal via la formation, le développement d’outils innovants et la promotion de la participation citoyenne.","definition, faq"
FAQ,Quels sont les objectifs du projet ?,"Promouvoir la participation citoyenne et l’engagement civique des jeunes. Former plus de 150 jeunes, produire plus de 130 contenus, sensibiliser plus de 10 millions de personnes aux enjeux de la participation citoyenne au Sénégal.","objectifs, engagement"
FAQ,Qui peut rejoindre la communauté ?,"Jeunes sénégalais de 18 à 35 ans, organisations de la société civile, activistes, journalistes citoyens et toute personne souhaitant s’engager pour la démocratie participative.","rejoindre, admission"
FAQ,Quelles sont les prochaines activités ?,"Ateliers de formation sur les outils de plaidoyer digital, webinaires sur la participation citoyenne, campagnes de sensibilisation. Plus de détails dans la section Actualités du site.","activités à venir, calendrier"
FAQ,Comment devenir ambassadeur CitizenLab ?,"Avoir suivi au moins une formation, être actif dans sa communauté, partager les valeurs de CitizenLab. Déposer une candidature via le formulaire de contact.","ambassadeur, devenir ambassadeur"
FAQ,Où trouver les rapports publiés ?,"Dans la section Ressources du site web : rapports d’activités, études et publications sur la participation citoyenne.","rapports, ressources"
FAQ,Comment s'inscrire à une formation en ligne ?,"Aller dans la section Formations, choisir la formation et remplir le formulaire d’inscription. Un email de confirmation est ensuite envoyé.","inscription formation, formation"
FAQ,Les formations sont-elles gratuites ?,"Oui, toutes les formations sont gratuites grâce au financement de l'Union Européenne (International Partnerships) et au soutien de la Youth Democracy Cohort.","gratuit, formation"
FAQ,Puis-je obtenir une attestation ?,"Oui, une attestation est délivrée à tout participant ayant suivi au moins 80% des sessions de formation.","attestation, certificat"
FAQ,Comment devenir partenaire ?,"Envoyer une proposition de partenariat détaillant votre organisation, vos objectifs et les synergies possibles. L'équipe vous recontactera pour échanger sur les modalités.","partenariat, devenir partenaire"
FAQ,Quels types de partenariats proposez-vous ?,"Partenariats techniques (expertise), financiers (soutien), médiatiques (diffusion), académiques (recherche et formation).","types partenariat, partenaires"
FAQ,Comment contacter l'équipe de coordination ?,"Par email : contact@citizenlab-senegal.org ou par téléphone : +221 XX XXX XX XX, ou via le formulaire de contact sur le site.","contact, coordination"
Activités,Lancement officiel de CitizenLab Sénégal,"Événement inaugural présentant les objectifs, acteurs et premières actions du programme.","lancement, évènement"
Activités,Formation 1 en ligne : Civic Tech,"Formation sur les enjeux, outils et opportunités des Civic Tech.","civic tech, formation en ligne"
Activités,Formation 2 en ligne : Participation citoyenne,Formation dédiée à l'engagement citoyen en ligne.,"participation citoyenne, formation"
Activités,Podcast Civic Tech,Podcast portant sur les Civic Tech et la participation citoyenne.,"podcast, contenu"
Activités,Plateforme de Plaidoyer et de Signalement,Conception du premier prototype en avril.,"plaidoyer, plateforme"
Activités,Formation 3 à Thiès : Sécurité et protection des données,Formation en présentiel sur la sécurité numérique et la protection des données.,"thiès, sécurité"
Activités,Campagne mensuelle sur les droits numériques,Campagne d’information et de plaidoyer sur les droits numériques.,"droits numériques, campagne"
Activités,"Initiation robotique (IOT, Scratch)",Initiation à Dakar pour les élèves du primaire et du collège.,"robotique, iot"
