Catégorie,Question,Réponse,Mots-clés
Identité,"Qu'est-ce que CitizenLab Mauritanie ?","AfricTivistes CitizenLab Mauritanie est une fabrique citoyenne qui a pour objectif d'appuyer, d'accompagner et d'outiller les acteurs de la société civile mauritanienne dans la consolidation de la démocratie en Mauritanie.","CitizenLab, Mauritanie, fabrique citoyenne, démocratie"
Identité,"CitizenLab Mauritanie c'est quoi exactement ?","C'est votre plateforme d'informations citoyennes en Mauritanie qui promeut la participation citoyenne et la démocratie participative en impulsant de nouvelles dynamiques par l'utilisation de la technologie citoyenne (civic tech).","plateforme, civic tech, participation, Mauritanie"
Identité,"Qui a créé CitizenLab Mauritanie ?","CitizenLab Mauritanie a été créé par AfricTivistes, une organisation panafricaine qui fédère les blogueurs et web-activistes du continent pour promouvoir les valeurs démocratiques, les droits humains et la bonne gouvernance.","AfricTivistes, créateur, organisation"
Création,"Quand CitizenLab Mauritanie a été lancé ?","Le séminaire de lancement officiel de CitizenLab Mauritanie a eu lieu le 20 février 2023 à Nouakchott. C'est le premier CitizenLab créé par AfricTivistes.","20 février 2023, lancement, Nouakchott, premier"
Création,"Quelle a été la phase préparatoire ?","Décembre 2022: Appel à candidatures ouvert à tous les mauritaniens. Janvier 2023: Formation sur l'engagement, la participation citoyenne et les campagnes digitales. Février 2023: Formation sur la production de contenus. 20 Février 2023: Séminaire de lancement.","préparation, 2022-2023, formations, étapes"
Premier CitizenLab,"CitizenLab Mauritanie est le premier ?","Oui, CitizenLab Mauritanie a été le premier CitizenLab créé par AfricTivistes en 2022-2023, avant ceux du Bénin, Cameroun, Tchad, Guinée et Sénégal.","premier, pionnier, 2023, historique"
Mission,"Quelle est la mission de CitizenLab Mauritanie ?","La mission est de promouvoir la participation citoyenne et la démocratie participative en Mauritanie en impulsant de nouvelles dynamiques par l'utilisation de la technologie citoyenne, et de consolider la démocratie dans le pays.","mission, participation, démocratie, consolidation"
Objectifs,"Quels sont les objectifs de CitizenLab Mauritanie ?","Les objectifs sont: 1) Renforcer la démocratie participative par l'engagement citoyen et la co-construction, 2) Créer un réseau citoyen d'acteurs de changement (Think Tank), 3) Fournir une plateforme de contenu, 4) Créer une application mobile en 4 langues locales, 5) Fournir une base de données d'études, 6) Déployer une stratégie de communication.","objectifs, renforcement, réseau, application, communication"
Problématique,"Pourquoi CitizenLab Mauritanie est nécessaire ?","La Mauritanie est confrontée à un déficit d'engagement et d'implication des populations à la vie politique du pays, ce qui nuit à la démocratie et à la transparence. CitizenLab vise à remédier à ce problème en encourageant les jeunes à participer activement.","problématique, déficit, engagement, jeunes"
Contact,"Comment contacter CitizenLab Mauritanie ?","Email: info@africtivistes.org, Localisation: Nouakchott, Mauritanie. Le site bilingue est disponible en français et en arabe.","contact, email, Nouakchott, bilingue"
Contact,"Où se trouve CitizenLab Mauritanie ?","CitizenLab Mauritanie est basé à Nouakchott, capitale de la Mauritanie.","localisation, Nouakchott, Mauritanie"
Contact,"Quel est le site web de CitizenLab Mauritanie ?","Le site web est https://citizenlabmauritanie.org/ et il est disponible en français et en arabe.","site web, url, lien, bilingue"
Langues,"Quelles langues sur le site ?","Le site CitizenLab Mauritanie est bilingue: français (🇫🇷) et arabe (🇲🇷 اَلْعَرَبِيَّةُ). L'application mobile est prévue en 4 langues locales.","langues, français, arabe, bilingue, 4 langues"
Équipe,"Combien de membres dans l'équipe ?","L'équipe de CitizenLab Mauritanie est composée de 17 jeunes engagés formés et recrutés suite à l'appel à candidatures de décembre 2022.","équipe, 17 jeunes, membres"
Think Tank,"Qu'est-ce que le Think Tank citoyen ?","CitizenLab Mauritanie vise à créer un réseau citoyen d'acteurs de changement en Mauritanie à travers la mise en place d'un Think Tank citoyen pour réfléchir et débattre des questions de démocratie participative.","Think Tank, réseau, acteurs changement"
Application Mobile,"Qu'est-ce que l'application mobile ?","CitizenLab Mauritanie développe une application mobile exclusivement audio en 4 langues locales pour sensibiliser les citoyens sur les questions pertinentes liées à la démocratie participative, favorisant ainsi l'inclusion.","application mobile, audio, 4 langues, inclusion"
Langues Locales,"Quelles sont les 4 langues locales ?","L'application mobile de CitizenLab sera disponible en 4 langues locales de Mauritanie pour assurer l'accessibilité et l'inclusion de toutes les communautés dans la participation citoyenne.","langues locales, 4 langues, accessibilité, inclusion"
Plateforme Contenu,"Qu'est-ce que la plateforme de contenu ?","CitizenLab fournit une plateforme de contenu pour les membres du Think Tank citoyen afin de partager des informations et de lancer des débats sur les questions pertinentes liées à la démocratie participative en Mauritanie.","plateforme, contenu, partage, débats"
Base Données,"Qu'est-ce que la base de données ?","CitizenLab Mauritanie fournit une base de données d'études et de rapports sur les questions pertinentes liées à la démocratie participative en Mauritanie, qui est disponible et téléchargeable pour le public.","base données, études, rapports, téléchargeable"
