Catégorie,Question,Réponse,Mots-clés
Identité,"Qu'est-ce que CitizenLab Sénégal ?","CitizenLab Sénégal est votre plateforme d'informations citoyennes au Sénégal. C'est un espace collaboratif où citoyens, innovateurs et acteurs du changement imaginent ensemble des solutions numériques pour construire un Sénégal plus juste, transparent et inclusif.","CitizenLab, Sénégal, plateforme, civic tech"
Identité,"CitizenLab Sénégal c'est quoi exactement ?","C'est une fabrique citoyenne qui utilise la technologie civique (civic tech) pour promouvoir la participation citoyenne et la démocratie participative au Sénégal. On croit que chaque voix compte et que les grandes idées méritent d'être entendues et concrétisées.","plateforme, civic tech, innovation, Sénégal"
Identité,"Qui a créé CitizenLab Sénégal ?","CitizenLab Sénégal a été créé par AfricTivistes, une organisation panafricaine qui fédère les blogueurs et web-activistes du continent pour promouvoir les valeurs démocratiques, les droits humains et la bonne gouvernance.","AfricTivistes, créateur, organisation"
Mission,"Quelle est la mission de CitizenLab Sénégal ?","Notre mission est d'offrir un espace collaboratif où citoyens, innovateurs et acteurs du changement imaginent ensemble des solutions numériques pour construire un Sénégal plus juste, transparent et inclusif en utilisant la civic tech.","mission, collaboration, innovation, Sénégal"
Mission,"Pourquoi CitizenLab Sénégal existe ?","Parce qu'on croit que chaque voix compte. Les grandes idées méritent d'être entendues et concrétisées. Nous voulons offrir aux citoyens les outils pour transformer leurs idées en solutions concrètes qui changent des vies.","raison d'être, voix, idées, transformation"
Contact,"Comment contacter CitizenLab Sénégal ?","Email: aclsenegal@africtivistes.org, Téléphone: +221 78 018 01 05, Localisation: Dakar, Sénégal","contact, email, téléphone, Dakar"
Contact,"Où se trouve CitizenLab Sénégal ?","CitizenLab Sénégal est basé à Dakar, capitale du Sénégal.","localisation, Dakar, Sénégal"
Contact,"Quel est le site web de CitizenLab Sénégal ?","Le site web est https://citizenlabsenegal.org/","site web, url, lien"
Impact,"Quel est l'impact de CitizenLab Sénégal ?","Notre impact: 150+ jeunes formés aux outils numériques pour s'engager activement, 10 projets réalisés (idées transformées en vraies solutions concrètes), 5 partenariats avec des alliés engagés pour amplifier notre impact.","impact, 150 jeunes, 10 projets, 5 partenariats"
Impact,"Combien de jeunes ont été formés ?","Plus de 150 jeunes ont été formés aux outils numériques pour s'engager activement dans la transformation de leur communauté.","150 jeunes, formations, outillage"
Impact,"Combien de projets réalisés ?","10 projets ont été réalisés, transformant des idées en vraies solutions concrètes qui changent des vies au Sénégal.","10 projets, réalisations, solutions"
Impact,"Combien de partenariats ?","5 partenariats avec des alliés engagés pour amplifier notre impact et créer le changement.","5 partenariats, collaboration, impact"
Projets,"Quels sont les projets phares ?","Les projets phares incluent: Budget Participatif Digital (adopté par 3 municipalités), Observatoire Santé Publique (500+ signalements traités), OpenData Sénégal (200+ jeux de données gouvernementales).","projets phares, budget participatif, santé, opendata"
Budget Participatif,"Qu'est-ce que le Budget Participatif Digital ?","C'est une plateforme permettant aux citoyens de proposer et voter pour des projets locaux financés par leur commune. Elle a déjà été adoptée par 3 municipalités au Sénégal.","budget participatif, plateforme, vote, municipalités"
Budget Participatif,"Comment fonctionne le Budget Participatif ?","Les citoyens peuvent proposer des projets pour leur commune, voter pour les projets qui leur tiennent à cœur, et voir ces projets financés et réalisés par leur municipalité. C'est la démocratie participative en action.","fonctionnement, proposition, vote, réalisation"
Budget Participatif,"Combien de municipalités l'utilisent ?","Le Budget Participatif Digital a déjà été adopté par 3 municipalités au Sénégal, et d'autres devraient suivre.","3 municipalités, adoption, déploiement"
Santé Publique,"Qu'est-ce que l'Observatoire Santé Publique ?","C'est une application mobile de signalement et suivi de la qualité des services de santé. Plus de 500 signalements ont été traités en 6 mois, améliorant ainsi l'accès aux soins.","observatoire santé, application, signalement, qualité"
Santé Publique,"Comment fonctionne l'Observatoire Santé ?","Les citoyens peuvent signaler via l'application mobile des problèmes de qualité dans les services de santé. Ces signalements sont suivis et traités pour améliorer les services.","fonctionnement, signalement, suivi, amélioration"
Santé Publique,"Combien de signalements traités ?","Plus de 500 signalements ont été traités en 6 mois grâce à l'Observatoire Santé Publique, contribuant à améliorer la qualité des services.","500 signalements, 6 mois, traitement"
OpenData,"Qu'est-ce qu'OpenData Sénégal ?","C'est un portail de données ouvertes facilitant l'accès à l'information publique. Il regroupe plus de 200 jeux de données gouvernementales pour plus de transparence.","OpenData, données ouvertes, transparence, information"
OpenData,"Combien de données disponibles ?","OpenData Sénégal regroupe plus de 200 jeux de données gouvernementales accessibles au public pour favoriser la transparence et l'innovation.","200 données, jeux de données, gouvernement"
OpenData,"Pourquoi OpenData est important ?","OpenData favorise la transparence gouvernementale, permet aux citoyens d'accéder à l'information publique, encourage l'innovation basée sur les données et renforce la redevabilité des institutions.","importance, transparence, accès, innovation"
Formations,"Quelles formations CitizenLab propose ?","CitizenLab propose: Civic Tech Innovators Program (6 semaines), Initiation au code (3 semaines), Data & Transparence (4 semaines), Leadership Citoyen (2 semaines), et autres bootcamps intensifs.","formations, bootcamps, programmes, apprentissage"
Civic Tech Program,"Qu'est-ce que le Civic Tech Innovators Program ?","C'est un bootcamp intensif de 6 semaines (4 nov - 15 déc 2025) où vous apprenez à concevoir, développer et déployer des solutions digitales pour résoudre des problèmes citoyens concrets. De l'idée au prototype fonctionnel.","bootcamp, 6 semaines, civic tech, prototype"
Civic Tech Program,"Comment se déroule le Civic Tech Program ?","Format hybride (présentiel + en ligne), durée 6 semaines, objectif: créer un prototype civic tech déployable. Places limitées pour une formation intensive et personnalisée.","format hybride, 6 semaines, prototype, intensif"
Civic Tech Program,"Quand a lieu le Civic Tech Program ?","La prochaine session se déroule du 4 novembre au 15 décembre 2025. Places limitées, inscription recommandée rapidement.","dates, 4 nov, 15 déc, 2025"
Initiation Code,"Qu'est-ce que l'Initiation au code ?","C'est une formation de 3 semaines en ligne pour apprendre les bases de la programmation et du développement web, accessible aux débutants.","initiation code, 3 semaines, en ligne, programmation"
Data Transparence,"Qu'est-ce que Data & Transparence ?","C'est une formation de 4 semaines en format hybride sur l'utilisation des données pour promouvoir la transparence et la redevabilité gouvernementale.","data, transparence, 4 semaines, hybride"
Leadership Citoyen,"Qu'est-ce que Leadership Citoyen ?","C'est une formation de 2 semaines en présentiel pour développer vos compétences en leadership et engagement citoyen, devenir un acteur du changement dans votre communauté.","leadership, 2 semaines, présentiel, engagement"
Actualités,"Quelle est la dernière actualité ?","La dernière actualité est la formation en ligne organisée le 17 janvier 2026 intitulée 'Jeunes et OSC connectés', visant à renforcer les connaissances autour de la citoyenneté active, du numérique et de la participation citoyenne.","actualité, 17 janvier 2026, formation, OSC"
Formation 2026,"Qu'est-ce que la formation du 17 janvier ?","C'est une formation en ligne organisée le 17 janvier 2026 dans le cadre de nos actions de renforcement des capacités et de promotion de l'engagement citoyen, portant sur la citoyenneté active, le numérique et la participation citoyenne.","formation, 17 janvier 2026, en ligne, citoyenneté"
Lancement,"Y a-t-il eu une cérémonie de lancement ?","Oui, une cérémonie de lancement a été organisée en décembre 2025, marquant le début officiel des activités de CitizenLab Sénégal.","lancement, cérémonie, décembre 2025"
Participation,"Comment participer à CitizenLab ?","Vous pouvez: 1) Devenir bénévole et mettre vos compétences au service de la communauté, 2) Rejoindre un bootcamp et développer vos compétences, 3) Proposer une idée de projet civic tech pour être accompagné.","participation, bénévolat, bootcamp, idée"
Bénévolat,"Comment devenir bénévole ?","Mettez vos compétences au service de la communauté. Contribuez à nos projets et aidez à créer un impact positif. Avantages: réseau de professionnels engagés, expérience terrain valorisante, certificat de bénévolat.","bénévolat, engagement, compétences, certificat"
Bénévolat,"Quels avantages pour les bénévoles ?","Réseau de professionnels engagés, expérience terrain valorisante, certificat de bénévolat reconnu. C'est aussi l'opportunité de contribuer concrètement au changement.","avantages, réseau, expérience, certificat"
Bootcamp,"Comment rejoindre un bootcamp ?","Postulez via notre site pour participer à nos formations intensives. Avantages: formation certifiante reconnue, mentorat personnalisé, projet concret à développer.","bootcamp, inscription, formation, mentorat"
Bootcamp,"Quels avantages des bootcamps ?","Formation certifiante reconnue, mentorat personnalisé par des experts, projet concret à développer pendant la formation, compétences immédiatement applicables.","avantages, certification, mentorat, projet"
Idée Projet,"Comment proposer une idée ?","Soumettez votre idée de projet civic tech via notre site. Vous bénéficierez: d'une évaluation par nos experts, de ressources et accompagnement, d'une possibilité de financement.","idée, proposition, soumission, accompagnement"
Idée Projet,"Quel soutien pour les idées ?","Évaluation par nos experts, ressources et accompagnement personnalisé, possibilité de financement pour concrétiser votre projet civic tech.","soutien, évaluation, ressources, financement"
Financement,"Qui finance CitizenLab Sénégal ?","Le projet est financé par EU International Partnerships (Union Européenne) et soutenu par la Youth Democracy Cohort (YDC).","financement, EU, Union Européenne, YDC"
Partenaires,"Qui sont les partenaires ?","Les partenaires principaux sont: AfricTivistes (porteur du projet), EU International Partnerships (financement), Youth Democracy Cohort (soutien), plus 5 autres partenariats stratégiques.","partenaires, AfricTivistes, EU, YDC"
Partenaires,"Qu'est-ce que la Youth Democracy Cohort ?","La Youth Democracy Cohort (YDC) est un partenariat qui soutient CitizenLab pour renforcer les valeurs démocratiques et l'engagement citoyen des jeunes.","YDC, Youth Democracy Cohort, soutien"
Témoignages,"Qui a témoigné sur CitizenLab ?","Hamidou THIAW de la Municipalité de Dakar a témoigné: 'Avec CitizenLab, l'accès aux missions d'impact est devenu simple et notre expertise mieux valorisée. Notre communauté grandit avec des projets concrets et mesurables.'","témoignage, Hamidou THIAW, Municipalité Dakar"
Dakar,"CitizenLab travaille avec Dakar ?","Oui, CitizenLab collabore avec la Municipalité de Dakar, comme en témoigne Hamidou THIAW qui souligne l'impact de notre collaboration.","Dakar, municipalité, collaboration, partenariat"
Civic Tech,"Qu'est-ce que la Civic Tech ?","La Civic Tech désigne les technologies et démarches qui favorisent et renforcent le rôle joué par les citoyens dans la vie démocratique, la transparence gouvernementale et la résolution de problèmes publics.","Civic Tech, technologie, démocratie, citoyens"
Solutions,"Quel type de solutions CitizenLab crée ?","CitizenLab crée des solutions numériques concrètes: plateformes de budget participatif, applications de signalement citoyen, portails de données ouvertes, outils de transparence et de redevabilité.","solutions, numériques, plateformes, applications"
Innovation,"Comment CitizenLab favorise l'innovation ?","Par des bootcamps, formations, accompagnement de projets, mise en réseau, et en offrant l'espace et les ressources pour transformer les idées en solutions concrètes déployables.","innovation, bootcamps, accompagnement, transformation"
Communauté,"Quelle communauté CitizenLab crée ?","Une communauté de citoyens engagés, innovateurs, développeurs, acteurs du changement qui collaborent pour construire un Sénégal plus juste, transparent et inclusif.","communauté, citoyens, innovateurs, collaboration"
Valeurs,"Quelles sont les valeurs de CitizenLab ?","Nos valeurs: chaque voix compte, collaboration et co-création, innovation au service du bien commun, transparence et redevabilité, inclusion et justice sociale, action concrète et impact mesurable.","valeurs, voix, collaboration, transparence, impact"
Transparence,"Pourquoi la transparence est importante ?","La transparence permet aux citoyens d'accéder à l'information publique, de contrôler l'action gouvernementale, de participer de manière éclairée et de renforcer la confiance dans les institutions.","transparence, information, contrôle, confiance"
Inclusion,"Comment CitizenLab promeut l'inclusion ?","En formant 150+ jeunes de divers horizons, en créant des solutions accessibles, en valorisant toutes les voix, et en construisant un Sénégal où chacun peut contribuer au changement.","inclusion, formation, accessibilité, diversité"
Justice,"Qu'est-ce qu'un Sénégal plus juste ?","C'est un Sénégal où tous les citoyens ont accès aux mêmes opportunités, où les institutions sont transparentes et redevables, où chaque voix compte dans les décisions publiques.","justice, opportunités, égalité, voix"
Engagement,"Comment s'engager avec CitizenLab ?","Rejoignez-nous comme bénévole, participez à nos bootcamps, proposez vos idées, utilisez nos plateformes, partagez nos contenus, ou contactez-nous pour collaborer. Chaque action compte.","engagement, participation, collaboration, action"
Action,"Quelle que soit ma contribution ?","Quelle que soit votre contribution, chaque action compte pour bâtir un Sénégal plus démocratique et transparent. Du bénévolat ponctuel au projet d'envergure, toutes les contributions sont précieuses.","action, contribution, importance, impact"
Démocratie,"Comment renforcer la démocratie ?","Par la participation citoyenne active, la transparence gouvernementale, l'accès à l'information, les outils numériques de participation, la formation citoyenne et l'engagement de tous.","démocratie, participation, transparence, formation"
Technologie,"Comment la technologie aide ?","La technologie permet: de faciliter la participation (vote en ligne, plateformes), d'améliorer la transparence (open data), de résoudre des problèmes concrets (signalement), de mobiliser les citoyens efficacement.","technologie, facilitation, transparence, résolution"
Formation Continue,"Y a-t-il des formations continues ?","Oui, CitizenLab propose régulièrement des formations, bootcamps et ateliers. Consultez notre site pour les prochaines sessions disponibles.","formation continue, bootcamps, ateliers, sessions"
Certification,"Les formations sont certifiantes ?","Oui, nos bootcamps délivrent des formations certifiantes reconnues, valorisant votre parcours et vos compétences acquises.","certification, formation, reconnaissance, compétences"
Mentorat,"Y a-t-il du mentorat ?","Oui, nos bootcamps incluent un mentorat personnalisé par des experts du domaine pour vous accompagner dans votre apprentissage et votre projet.","mentorat, accompagnement, experts, personnalisé"
Projet Concret,"Dois-je réaliser un projet ?","Oui, dans nos bootcamps vous développez un projet concret que vous pouvez ensuite déployer. C'est l'apprentissage par la pratique.","projet, concret, pratique, déploiement"
Prototype,"Qu'est-ce qu'un prototype ?","Un prototype est une première version fonctionnelle de votre solution civic tech, testable et améliorable, qui démontre la viabilité de votre idée.","prototype, version, fonctionnel, solution"
